날짜,제목,본문,링크
2026-03-07 23:35:34,선배님들 궁금한거있습니다,기능경기대회 하려면 어느정도 수준이어야합니까? 그냥 고개박고 공부 열심히 하면 나갈수있습니까?,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=552&page=1
2026-03-07 21:00:39,신입생 가오 빼라,"특히 셔츠입고 주머니에 손처넣는 새끼 ㅇㅇ
따까리 한두명 델고 다니니까 자신감이 좀 오르던?",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=551&page=1
2026-03-04 21:31:24,이게 기숙사냐 피씨방이냐  잠을 못자겠노,?,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=550&page=1
2026-03-04 18:26:05,1학년 씨발 왜 먼저 급식쳐먹냐,시간 개념이 없나ㅋㅋ,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=549&page=1
2026-03-04 08:02:30,솔직히 토익 ㅈㄴ 과소평가됨,"고추보집물 << 이 강사 아니였으면 그정도로 평가 안쳐박음..
이 시점부터 안티토익단 늘어남..",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=548&page=1
2026-03-04 03:19:29,개병신방화벽시발,"아씨발아무덧도안더ㅣ냐
레딧은왜쳐막은겨여기소마고맞냐",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=547&page=1
2026-03-03 23:28:48,기숙사 건조기 맛 간듯,처음엔 4분 돌아가다 멈추고 다음엔 7분돌아가다 멈추네 어쩐지 안마르더라,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=546&page=1
2026-03-03 22:32:55,기숙사 좆같은거,"기숙사 와이파이로 vpn 접속이 막힘
히토미 못보겟노이기",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=545&page=1
2026-03-03 10:34:41,후배들에게,"요즘은 그냥 전공 공부만 열심히 한다고 될게 아니야
기업에서는 지금 당장 투입해서 쓸 수 있는 사람을 원하고있음
정신 똑바로 차리고.. 놀고먹겠다는 마인드 고쳐먹고.. 열심히해라..
졸업하고 현업에서 보자^^",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=544&page=1
2026-03-03 09:57:05,토익 찌른건 어떤 병신이냐,대가리 빈 것도 이니고 정규 방과후 민원을 넣네ㅋㅋ,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=543&page=1
2026-03-03 09:49:41,에혀,우리나라는 언제 터뜨려주냐,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=542&page=1
2026-03-02 20:58:40,여기학교 가고싶은데..,"파이선이랑C언어 읽을정도면 가능한가…
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=541&page=1
2026-03-02 20:39:33,신입생들,오늘 보니깐 가오 존나 잡던데 살살해라,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=540&page=1
2026-03-02 19:58:48,신입생 개꿀팁 알려줌,"1. 기숙사 와이파이 비밀번호는 gbsw2021! 임
2. 기숙사 와이파이 학교 와이파이 둘 다 병신이라서 자주 끊킴
3. 우리학교 와이파이는 새벽 1시 - 새벽 6시동안은 끊킴 (잠자라는거)",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=539&page=1
2026-03-02 16:36:10,소신발언,"여기 애들 공부 하는애들 많이 없어서, 내신 챙기는거 다른학교에비해 ㅈㄴ 쉬움..
물론 난 안함.",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=538&page=1
2026-03-01 13:29:29,내가 방학때 한것들,"이세계 재밌더라..
유니티 공부도 ㅈㄴ했다. 게임말고는 유니티가 제일 재밌었음",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=537&page=1
